待处理图片 100 张 → ../out/submission_A.csv
  [60/100] 41c420f9-5026-43c6-8ae6-caf4c60adee6.jpg kind=table calls=12 len=13340 累计270s
  [61/100] 425fb187-8c30-49ba-a959-13759942a53a.jpg kind=table calls=18 len=54107 累计279s
  [62/100] 471413c1-992f-43c7-9b41-287418fcb319.jpg kind=table calls=30 len=171425 累计286s
  [63/100] 4752c7d7-df43-48fc-8e1c-b15b57a76a51.jpg kind=table calls=45 len=303869 累计480s
  [64/100] 4c2588e5-f850-4fb4-bc7f-8ac47d2418b0.jpg kind=table calls=27 len=129271 累计483s
  [65/100] 4c9e11b2-a594-472b-8658-1b88e2fdeaaf.jpg kind=table calls=78 len=105539 累计496s
  [warn] tile 调用失败，置空：FinixDoc-VL 调用失败（重试 6 次）：HTTPSConnectionPool(host='finixdocapi.alipay.com', port=443): Max retries exceeded with url: /a
  [warn] tile 调用失败，置空：FinixDoc-VL 调用失败（重试 6 次）：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
  [warn] tile 调用失败，置空：FinixDoc-VL 调用失败（重试 6 次）：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
  [warn] tile 调用失败，置空：FinixDoc-VL 调用失败（重试 6 次）：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
  [warn] tile 调用失败，置空：FinixDoc-VL 调用失败（重试 6 次）：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
  [warn] tile 调用失败，置空：FinixDoc-VL 调用失败（重试 6 次）：HTTPSConnectionPool(host='finixdocapi.alipay.com', port=443): Max retries exceeded with url: /a
  [warn] tile 调用失败，置空：FinixDoc-VL 调用失败（重试 6 次）：HTTPSConnectionPool(host='finixdocapi.alipay.com', port=443): Read timed out. (read timeout=240
  [warn] tile 调用失败，置空：FinixDoc-VL 调用失败（重试 6 次）：('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
  [66/100] 4e32dba9-0799-4442-9909-e4a80733f122.jpg kind=table calls=20 len=67036 累计1809s
  [67/100] 58b3cb9e-ef05-45c4-875d-39dd34ea9dbe.jpg kind=table calls=105 len=41661 累计1840s
  [68/100] 5b93ec6f-42f0-4571-8c4f-a79d3517537a.jpg kind=table calls=29 len=16056 累计1857s
  [69/100] 5bbd7e2c-75ae-4844-bcbd-9ae46326dedd.jpg kind=table calls=30 len=51805 累计1857s
  [70/100] 6dfcd28f-b67a-49de-86ee-3c79a5077351.jpg kind=table calls=7 len=43836 累计1974s
  [71/100] 71f773c9-6a07-4b44-bee7-8c267c9c6b07.jpg kind=table calls=252 len=424664 累计1986s
  [72/100] 7859d2f1-5d29-44cc-8b33-baf26f9e0f33.jpg kind=table calls=11 len=44571 累计1987s
  [73/100] 7e001e38-3836-4d53-bc7b-e7b96acc0718.jpg kind=table calls=22 len=6488 累计1988s
  [74/100] 81016aef-ec9c-495e-8eee-2dc0012027d7.jpg kind=table calls=27 len=177162 累计1993s
  [75/100] 81386925-b114-4c45-898a-a9e374afb6ee.jpg kind=table calls=55 len=83463 累计1998s
  [76/100] 8154f223-bf21-4d41-b729-cea88fd4fd4e.jpg kind=table calls=12 len=13363 累计1998s
  [77/100] 88684b6b-c5c6-4841-8708-518344458535.jpg kind=table calls=31 len=160756 累计2010s
  [78/100] 8a150db7-d18e-436a-98d5-1eab1951b8c1.jpg kind=table calls=14 len=5752 累计2014s
  [79/100] 8e60d5f8-1462-4d57-bcfa-3cc5c3a82d2a.jpg kind=table calls=8 len=58731 累计2116s
  [80/100] 9212016c-38ce-46b7-8b33-2504a165bb5e.jpg kind=table calls=9 len=7493 累计2117s
  [81/100] aa754157-8785-4822-8dc8-c014046856c3.jpg kind=table calls=4 len=7783 累计2159s
  [82/100] ab129e6b-7f2a-49fb-b323-54f62682f4ff.jpg kind=table calls=103 len=129618 累计2164s
  [83/100] aecf66d9-d361-4b7b-948a-e5e8693c4877.jpg kind=table calls=40 len=310360 累计2165s
  [84/100] afa837b9-0af7-46f6-b4c8-a81c86663e32.jpg kind=table calls=15 len=6574 累计2179s
  [85/100] b1044f0e-008d-45d4-8238-29910bafc7a5.jpg kind=table calls=46 len=329376 累计2728s
  [86/100] b8c1ae8f-9938-46a4-9ee9-1f7e7ea63d77.jpg kind=table calls=45 len=283171 累计2999s
  [87/100] bac0aeac-2cea-49c3-8714-d8f8753afcde.jpg kind=table calls=80 len=567058 累计3001s
  [88/100] baf9a56f-852d-4d4f-be57-581d3e16468e.jpg kind=table calls=163 len=192325 累计3007s
  [89/100] bf21c4c0-cab4-4116-9b64-fe341dad80e1.jpg kind=table calls=80 len=528368 累计3009s
  [90/100] c3c0bcd5-25b7-4840-b3ae-f1af11a541b0.jpg kind=table calls=15 len=18740 累计3015s
  [91/100] d14d1076-a83f-4e0e-a912-fa67ac7403ae.jpg kind=table calls=7 len=43836 累计3016s
  [92/100] d1752e16-eb38-4504-bd3f-45afaba26bba.jpg kind=table calls=48 len=284186 累计3017s
  [93/100] d8b59365-8a47-4d71-8d6f-564f8084aac8.jpg kind=table calls=21 len=13380 累计3053s
  [94/100] dbaff0f7-74a8-4614-82f2-7ff61a7d850a.jpg kind=table calls=11 len=10003 累计3053s
  [95/100] dc98af1d-ad8e-4418-baf1-ab775b5b0843.jpg kind=table calls=47 len=87570 累计3054s
  [96/100] deb8de95-9c68-4a98-93bb-1be5816bdc1c.jpg kind=table calls=110 len=144688 累计3059s
  [97/100] e082df7b-7afb-44ba-bf46-2c28ebe6c460.jpg kind=table calls=40 len=311583 累计3060s
  [98/100] e4e9de30-9e6e-4624-88e8-fd9b801272c5.jpg kind=table calls=9 len=8521 累计3060s
  [99/100] f353d76e-efd7-4a3c-8579-38b3f916a6d3.jpg kind=table calls=50 len=84590 累计3069s
  [100/100] f3cfab65-77d7-4c72-8f40-b4bc14624f52.jpg kind=table calls=8 len=58703 累计3212s
完成：100 行，用时 3213s → ../out/submission_A.csv
